School,Role,Citations,Earliest_Pub,Field_1,Field_2,Major field
Arizona State University,Professor,223,1986,Systems theory; control,,Applied Math
Arizona State University,Professor,148,1985,Statistics,,Statistics
Arizona State University,Professor,172,1983,"Statistical mechanics, structure of matter",,Mathematical Physics
Arizona State University,Professor,703,1982,Special functions,,Analysis
Arizona State University,Professor,346,1979,Several complex variables and analytic spaces,,Complex Analysis
Arizona State University,Professor,739,1984,Partial differential equations,Fluid mechanics,PDE
Arizona State University,Professor,5370,1976,Ordinary differential equations,,Analysis
Arizona State University,Professor,3902,1985,Ordinary differential equations,,Analysis
Arizona State University,Professor,1425,1983,"Optics, electromagnetic theory",,Mathematical Physics
Arizona State University,Professor,549,1974,"Operations research, mathematical programming",,Applied Math
Arizona State University,Professor,362,1983,"Operations research, mathematical programming",,Applied Math
Arizona State University,Professor,238,1984,Numerical analysis,,Computer Science
Arizona State University,Professor,1178,1978,Numerical analysis,,Computer Science
Arizona State University,Professor,609,1983,Numerical analysis,,Computer Science
Arizona State University,Professor,274,1975,Number theory,,Number theory
Arizona State University,Professor,152,1987,Number theory,,Number theory
Arizona State University,Professor,108,1985,"Global analysis, analysis on manifolds",,PDE
Arizona State University,Professor,783,1979,Functional analysis,,Harmonic analysis
Arizona State University,Professor,428,1994,Functional analysis,,Harmonic analysis
Arizona State University,Professor,156,1988,Fluid mechanics,,Applied Math
Arizona State University,Professor,1405,1979,Combinatorics,,Combinatorics
Arizona State University,Professor,212,1998,Combinatorics,,Combinatorics
Arizona State University,Professor,3,1996,Biology and other natural sciences,,Applied Math
Arizona State University,Professor,3641,1977,Biology and other natural sciences,,Applied Math
Arizona State University,Professor,858,1996,Biology and other natural sciences,,Applied Math
Auburn University,Professor,13,1993,Statistics,,Statistics
Auburn University,Professor,20,2002,Statistics,,Statistics
Auburn University,Professor,94,1976,Probability theory and stochastic processes,,Probability
Auburn University,Professor,194,1984,Probability theory and stochastic processes,,Probability
Auburn University,Professor,1948,1988,Partial differential equations,,PDE
Auburn University,Professor,216,1973,Partial differential equations,,PDE
Auburn University,Professor,558,1992,Numerical analysis,,Computer Science
Auburn University,Professor,1642,1993,Numerical analysis,,Computer Science
Auburn University,Professor,105,1976,Linear and multilinear algebra; matrix theory,,Algebra
Auburn University,Professor,360,1982,Group theory and generalizations,,Group theory
Auburn University,Professor,243,1980,"Global analysis, analysis on manifolds",,PDE
Auburn University,Professor,133,1971,General topology,Manifolds and cell complexes,Geometry
Auburn University,Professor,205,1972,General topology,,Geometry
Auburn University,Professor,87,1974,General topology,,Geometry
Auburn University,Professor,266,1963,Functions of a complex variable,,Complex Analysis
Auburn University,Professor,152,1975,Fourier analysis,,Harmonic analysis
Auburn University,Professor,127,1977,Fourier analysis,,Harmonic analysis
Auburn University,Professor,1158,1983,Fourier analysis,,Harmonic analysis
Auburn University,Professor,213,2007,Dynamical systems and ergodic theory,,Dynamics
Auburn University,Professor,200,1965,Convex and discrete geometry,,Geometry
Auburn University,Professor,143,1978,Convex and discrete geometry,,Geometry
Auburn University,Professor,1186,1969,Combinatorics,,Combinatorics
Auburn University,Professor,253,1973,Combinatorics,,Combinatorics
Auburn University,Professor,569,1976,Combinatorics,,Combinatorics
Auburn University,Professor,1734,1981,Associative rings and algebras,,Algebra
Auburn University,Professor,77,1974,Approximations and expansions,,Applied Math
Auburn University,Professor,964,1997,Algebraic geometry,,Algebraic Geometry
Binghamton University,Professor,579,1983,Statistics,,Statistics
Binghamton University,Professor,112,1986,Statistics,,Statistics
Binghamton University,Professor,280,1977,Nonassociative rings and algebras,,Algebra
Binghamton University,Professor,90,1969,Group theory and generalizations,,Group theory
Binghamton University,Professor,406,1975,Group theory and generalizations,Manifolds and cell complexes,Group theory
Binghamton University,Professor,83,1985,Group theory and generalizations,,Group theory
Binghamton University,Professor,148,1992,Group theory and generalizations,,Group theory
Binghamton University,Professor,185,1994,"Global analysis, analysis on manifolds",,PDE
Binghamton University,Professor,1280,1974,Combinatorics,,Combinatorics
Binghamton University,Professor,243,1991,Algebraic geometry,Number theory,Algebraic Geometry
Boston College,Professor,446,1988,"Topological groups, Lie groups",,Lie Groups
Boston College,Professor,445,1985,Ordinary differential equations,,Analysis
Boston College,Professor,876,1975,Number theory,,Number theory
Boston College,Professor,775,1982,Number theory,,Number theory
Boston College,Professor,159,2006,Manifolds and cell complexes,,Geometry
Boston College,Professor,492,1981,Manifolds and cell complexes,,Geometry
Boston College,Professor,175,1994,Manifolds and cell complexes,,Geometry
Boston College,Professor,204,2000,Manifolds and cell complexes,,Geometry
Boston College,Professor,213,2002,Manifolds and cell complexes,,Geometry
Boston College,Professor,76,2004,Algebraic geometry,,Algebraic Geometry
Boston University,Professor,236,1994,Statistics,,Statistics
Boston University,Professor,161,2003,Statistics,Probability theory and stochastic processes,Statistics
Boston University,Professor,3644,1972,Probability theory and stochastic processes,,Probability
Boston University,Professor,1728,1981,Partial differential equations,,PDE
Boston University,Professor,1245,1987,Partial differential equations,,PDE
Boston University,Professor,9,1994,Other,,Other
Boston University,Professor,57,1974,Ordinary differential equations,,Analysis
Boston University,Professor,33,1970,Numerical analysis,,Computer Science
Boston University,Professor,580,1976,Number theory,,Number theory
Boston University,Professor,578,1981,Number theory,,Number theory
Boston University,Professor,323,2001,Number theory,,Number theory
Boston University,Professor,450,1980,Mechanics of particles and systems,,Mathematical Physics
Boston University,Professor,781,1976,Mathematical logic and foundations,,Logic
Boston University,Professor,2254,1969,"Global analysis, analysis on manifolds",,PDE
Boston University,Professor,668,1976,"Global analysis, analysis on manifolds",,PDE
Boston University,Professor,228,1978,"Global analysis, analysis on manifolds",,PDE
Boston University,Professor,307,1981,"Global analysis, analysis on manifolds",,PDE
Boston University,Professor,164,1979,Fourier analysis,,Harmonic analysis
Boston University,Professor,1043,1967,Biology and other natural sciences,,Applied Math
Boston University,Professor,177,1967,Biology and other natural sciences,,Applied Math
Boston University,Professor,13,2004,Biology and other natural sciences,,Applied Math
Boston University,Professor,401,1975,Algebraic geometry,,Algebraic Geometry
Boston University,Professor,258,1989,Algebraic geometry,,Algebraic Geometry
Brandeis University,Professor,1159,1993,Number theory,,Number theory
Brandeis University,Professor,311,2003,Number theory,,Number theory
Brandeis University,Professor,513,1982,Manifolds and cell complexes,,Geometry
Brandeis University,Professor,963,1977,Group theory and generalizations,,Group theory
Brandeis University,Professor,1454,1976,"Global analysis, analysis on manifolds",,PDE
Brandeis University,Professor,629,1979,Associative rings and algebras,,Algebra
Brandeis University,Professor,95,1961,Algebraic geometry,,Algebraic Geometry
Brandeis University,Professor,647,1989,Algebraic geometry,,Algebraic Geometry
Brown University,Professor,1284,1985,Partial differential equations,,PDE
Brown University,Professor,365,1968,Number theory,,Number theory
Brown University,Professor,1164,1978,Number theory,,Number theory
Brown University,Professor,5479,1978,"Global analysis, analysis on manifolds",,PDE
Brown University,Professor,679,1982,Functional analysis,,Harmonic analysis
Brown University,Professor,1837,1983,Fourier analysis,,Harmonic analysis
Brown University,Professor,391,1987,Dynamical systems and ergodic theory,,Dynamics
Brown University,Professor,412,1989,Dynamical systems and ergodic theory,,Dynamics
Brown University,Professor,1493,1991,Differential geometry,,Geometry
Brown University,Professor,190,1991,Algebraic topology,,Algebra
Brown University,Professor,604,1991,Algebraic geometry,,Algebraic Geometry
Brown University,Professor,947,1996,Algebraic geometry,,Algebraic Geometry
California Institute of Technology,Professor,1310,1985,Quantum theory,,Mathematical Physics
California Institute of Technology,Professor,767,1991,Quantum theory,,Mathematical Physics
California Institute of Technology,Professor,922,1992,Quantum theory,,Mathematical Physics
California Institute of Technology,Professor,1049,1997,Quantum theory,,Mathematical Physics
California Institute of Technology,Professor,1551,2003,Partial differential equations,,PDE
California Institute of Technology,Professor,167,2013,Partial differential equations,,PDE
California Institute of Technology,Professor,383,2004,Numerical analysis,,Computer Science
California Institute of Technology,Professor,68,1998,Number theory,,Number theory
California Institute of Technology,Professor,775,1980,Number theory,,Number theory
